instance,clusterIndex,isClusterCenter
f3c4489357706de4a4497efd4ee07e60,72429763313,1
102df7f8d2d1f8c79d8cb42ed205ee1c,81150607454,0
0efe89e741c5e11d392d0c090da560bd,12783724653,0
1267c7b2ea44ce8543b397c113070ac0,4872367971,0
b62fb9ebd7a7dcb1013c3d28131fa55f,12783724653,0
925b8783453f49195e2bf0ce0f28832d,31830523853,1
96ea5edb604d5bd32c526ad9beb3cc0c,92254586445,0
ec5a2623312ecf9b41c22ca1d8331855,12783724653,0
62a9f44ef301b8dce6dd4826655485e0,61204911506,0
3526dc9b513f2278c90950d193dcde1d,46028697673,0
4d2df5c20fa9361a54240a386ef83fa3,81150607454,1
a99a4b47137266bf303eb7738f5cc0b8,59424192158,0
e6279091a47a6b31b28d823e9aa00903,92254586445,0
fd41dc2869a30438b697fefd1c152b85,12783724653,0
f5277fa2622862f4b9b52dff7921ef12,79976646709,0
b49c1a31d7d857fca3a8c53e1b1e5943,31830523853,0
380cf8a727b69a13dbf19d96f345259a,81150607454,0
c1b9bded7df036327cbf60cd77be105d,1942678923,0
cc5d6b6cd45731db30e6725510dcfe12,81150607454,0
bd6b454993672f03b759e87fce8f8596,23908596261,0
eda4ec6faec6ab548422910267e78759,34366586155,0
b78e2dec70fda7d7300e5dc36bec3ca0,79523545985,0
6bd05af8cc114babb8a9d59c0a22ce98,74223123202,0
0a29e2fe7c58ef5acf6090b457fcec0b,1942678923,0
d8d620956b54f82c969eb47f1e462d79,75910999935,0
d2201be792dbd1791df488fa2d09492e,58698851773,0
e6c4a5757b3c4b41adb2491ead6f8e0c,518248795,0
7186b4f2bcfe2f933ac14cf5dc132076,518248795,0
af0eceac72c89197bf215218feb3e674,97785320920,0
a19957f631264b0f4b3b6280cc705e4a,62816171763,0
334521f252099a27c02b4479ef9f6630,57690969475,0
7fd5e5683690ed7233639aacd0eaee66,79523545985,1
da6eb90be3db493a9e0a9214504c7469,97785320920,1
5f5cbca4299fe4a594985e2ea6ce39eb,1942678923,0
