instance,clusterIndex,isClusterCenter
ba9f63a5a6d8091c3419264f965dafd1,797119597,0
bd764c925caf3628cc0be9001c02485b,31236445934,0
a534f58ba6379f36e001a2ddf9ed830c,9876102695,0
4b1d2e5c1fc3a0210cd93425901de9bc,797119597,0
6cd1c43d57b644b44a4f36e4067ba1dc,64508633616,0
76ba81d4366f05655cf47a78230d8092,73449899950,0
b8906648adc0261d89f8988b4c1b17ef,99715699785,0
c1fde8776f334c859cdb281cb0bed488,20487279142,1
7518b6cc05d880120629880cb39b1956,20487279142,0
83647777fb167ad43f698ecd0ab0dc4b,53415038123,0
cb9f6b9040337d4199fbeb078552e6fb,30682945094,0
8c0e9fe8190ea1515a32956be971e09b,64508633616,0
65e4a75b9dabb1cd30f81f722a6e0ef9,73449899950,0
d13994ab86a82b097ab71c4c2593f6c2,73449899950,0
e3acebf7a8b1b7baee676b2504100871,23926528597,1
bb6fff53be6759858ce63435e54c2680,73384361565,0
569212439cf6b267033ec1c78e7ef98d,23736077574,0
bbb6c7fa7d4cc617defaaccdd6b5b6e4,24393208307,0
0ca1061bd763b3064bce03f0671b5f7b,32583057941,0
50661ce5e2bc6d883ebc904a311b8a60,67327783558,0
3f4d99729cfee751751a5906e95000db,95321546258,0
eb0b6ca4c8435a90334768a7cecd1755,53840842820,0
60bdb5dace052c366fc07d978b09afc4,797119597,0
4791f981c4272de287c8d3b43185f9a0,21864968107,0
618c89804ffa57909a87dc4ffa1613be,77382984533,0
bad2eaaa69862ea80fd123d5c0ed613f,24393208307,0
a14c00732fcd60d2f8416079c6315cd5,3994436558,1
bb9ef5b232a3bf48c44e01fac22bb7cd,90627525331,0
a4e018dae38a08dd1084240c30156f8d,31236445934,0
d630dec8de46b1640369e2161ac93f0e,30193699032,0
1ce766f03a8fd5a0e7bcf2ce482d4288,68908029940,0
b3c67df15fe14939e8bce30db5d4fa17,797119597,0
0f41eb34374716a5f0bcd86c1b2c5f8c,31236445934,0
aa2cd2aa6fd7af96139f81884ceb0ba8,74162885803,0
8dc7a9bcba3186cfaf630e28445e57b4,80273667922,0
