
@RELATION ALGORITHM_RUNS_2013-SAT-Competition
@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE mzn2feat {ok}
@DATA

925b8783453f49195e2bf0ce0f28832d,1,ok
4d2df5c20fa9361a54240a386ef83fa3,1,ok
fec773640580b27898632fdeff68088e,1,ok
da6eb90be3db493a9e0a9214504c7469,1,ok
f3c4489357706de4a4497efd4ee07e60,1,ok
7fd5e5683690ed7233639aacd0eaee66,1,ok
11d2887c324233992c75d8e90d68f52d,1,ok
86d3d37918cdc4d2230432ef1413f78b,1,ok
7fe95d04e32f5e433c9da065985a605d,1,ok
fee67975150af79a6bb93e5a3083e201,1,ok
656799a911b5bf2386051bd8f0a99452,1,ok
feee7e729bb74b9c03b28310fd479ea9,1,ok
767846493bc4d40049a0b375142bce82,1,ok
68cbf36d52a5c0a2cc4416ad768ce05a,1,ok
fde1886181894255c17c055fa8ffae79,1,ok
64c953a6fae4154e70c6db9c5e01e091,1,ok
bcd26415b70d9aa3cce4e1062ff5bf72,1,ok
d88c1ae1c2e262fced748762b87f7228,1,ok
8851ff4e855a9eeee64557ce3778b1b0,1,ok
45f43cdc113cb2f8d431c844d485aacc,1,ok
6d48be813c24b61bdfbb67b06a0c6e94,1,ok
98b5e0e14ea46bd71e0e0de788b6f6e9,1,ok
f62c5dee3c93c6affee6c086ba239c0a,1,ok
a50386361dc470c7438b6327453de6ab,1,ok
497d3b1d693eca8b0358c66ae9eb4461,1,ok
ac75b32a3130cde8497cf66be80a6209,1,ok
236a91ee40255b3dcadc1b65a5d91217,1,ok
beafd2fa26b2c42e910669e0bc2c63fb,1,ok
5db01a0c6cb4cc2b408e1a57f7703df9,1,ok
ecaff57b20253186c144ecba08b2c71c,1,ok
52fcfe1dc48355c011914b91714d24f5,1,ok
fd8e182211e113a37d20fa9f04168bb7,1,ok
d9907ae109c86ad7b860d07019e19b1e,1,ok
ae834dcb73ec555a6f75f7cd992e95b8,1,ok
b24c9115865a44e5e7f0fa89d58300de,1,ok
00b14d141ef8a02f8f1068e0c1ac7885,1,ok
8057d048d360ffad4b197e386d270b6d,1,ok
aeedb9dfe48551e5c25e1e73cec7b0a5,1,ok
84683c9c544653d3e75294f2ece0ef71,1,ok
ea2cef97f85f12bc2180f14afe6f5b72,1,ok
9b485fd362b9c53450b3df370ca4cce0,1,ok
e8ced639e1f309d8b49035262308d929,1,ok
289b81fdcd7a010a25db1ced285dcad3,1,ok
7e962dbbb3afe4e51d7adce914a574f4,1,ok
8003d7943865ac97bf6eec0f8cf55fd6,1,ok
d7ad04657c44391a56a7cd0f985b5dd4,1,ok
64c49d8e2d7b2679f277aee5deaa5a04,1,ok
2ee735260a6d1e54159cffd3a091afa1,1,ok
ba9c3f3686f9ec9d95ca59fbd84dad32,1,ok
120b25d3704ae82182c44dadf44ecf46,1,ok
004e247a2657a80880010f347b2558d2,1,ok
3f9b3b2106006991526c595defc267a9,1,ok
f49cca23e53bc0a0512ef9c9370cb567,1,ok
