Streamliner,md5checksum,sat,SRTime,solverTime,solverTimeOut,nNodes,SRMemOut,SRTimeOut,Seed,baseSolverTime,baseSRTime,totalTime,baseTotalTime,solverTimeReduction,totalTimeReduction
3,ea2cef97f85f12bc2180f14afe6f5b72,True,216.661,18.9,0.0,74092.0,0,0.0,1747427389,10.4,93.235,235.561,103.635,-0.8173076923076921,-1.2729869252665604
3,9c9e544649cd82060f4f16e8897b0800,True,29.13,42.0,0.0,142815.0,0,0.0,407156352,12.8,16.738,71.13,29.538,-2.28125,-1.4080845013203331
3,e71d2396fb37c81c742db55477e8eb6b,True,71.998,16.7,0.0,5525.0,0,0.0,961237644,10.4,41.26600000000001,88.69800000000001,51.66600000000001,-0.6057692307692306,-0.7167576355823944
3,57755f514ba564afd2a69010a548aaf9,True,71.361,16.8,0.0,9737.0,0,0.0,961237644,11.4,43.46,88.161,54.86,-0.4736842105263158,-0.6070178636529348
3,93e36b42bc0a74b4ffe12954eb12ca48,True,77.911,16.3,0.0,14959.0,0,0.0,961237644,10.8,49.199,94.211,59.998999999999995,-0.5092592592592592,-0.570209503491725
3,f81d9eb2fcfa461f358ac755a95f0e2b,True,76.98,17.9,0.0,12508.0,0,0.0,961237644,11.7,42.58,94.88,54.28,-0.5299145299145299,-0.7479734708916727
3,f49cca23e53bc0a0512ef9c9370cb567,True,83.669,16.8,0.0,9842.0,0,0.0,961237644,11.5,48.095,100.469,59.595,-0.46086956521739136,-0.6858629079620773
3,9194f39e2605b43c597159691c259a09,True,69.229,16.4,0.0,11706.0,0,0.0,9401649,11.8,46.54600000000001,85.62899999999999,58.346000000000004,-0.38983050847457607,-0.4676070339012098
3,3f9b3b2106006991526c595defc267a9,True,82.446,19.8,0.0,31628.0,0,0.0,9401649,11.3,46.077,102.246,57.376999999999995,-0.7522123893805309,-0.7820032417170644
3,120b25d3704ae82182c44dadf44ecf46,True,104.501,18.0,0.0,8824.0,0,0.0,1349410777,12.7,62.914,122.501,75.614,-0.4173228346456694,-0.6200835824053746
3,2aedeb6e516b3a169086253b7af549d9,True,87.155,15.2,0.0,36162.0,0,0.0,9401649,10.7,50.951,102.355,61.650999999999996,-0.42056074766355145,-0.6602325996334205
3,303a1377ff9309311c486762b40b754c,True,88.848,17.2,0.0,18662.0,0,0.0,1845819539,10.5,55.75100000000001,106.048,66.251,-0.638095238095238,-0.6007003667869163
3,ebc344a680623374e24b862884328516,True,94.5,16.1,0.0,16164.0,0,0.0,859769041,10.5,53.563,110.6,64.063,-0.5333333333333334,-0.7264255498493669
3,2e1cce6106aa17ad4992351971d64569,True,85.073,14.8,0.0,10261.0,0,0.0,9401649,10.3,54.736,99.87299999999999,65.036,-0.4368932038834951,-0.5356571744879757
3,fca046c311078c65112465f1a442bfe6,True,89.366,21.0,0.0,14081.0,0,0.0,18114540,12.0,48.923,110.366,60.923,-0.75,-0.8115654186432053
3,004e247a2657a80880010f347b2558d2,True,101.713,18.0,0.0,16406.0,0,0.0,1349410777,12.2,62.508,119.713,74.708,-0.47540983606557385,-0.6024120576109653
3,1e27b9bf2fa02bf86a7ec4a9ed56d5ab,True,100.471,17.7,0.0,15025.0,0,0.0,1389946590,11.4,56.878,118.171,68.278,-0.5526315789473684,-0.7307331790620697
3,7051989378947415649f4d802d11c17c,True,81.487,17.9,0.0,10082.0,0,0.0,9401649,11.5,45.453,99.387,56.953,-0.5565217391304347,-0.74507049672537
3,9f0e3bab7adbd207a042eaa8885e9827,True,74.846,17.6,0.0,14729.0,0,0.0,9401649,11.8,45.57100000000001,92.446,57.37100000000001,-0.4915254237288136,-0.6113715988914257
3,7e962dbbb3afe4e51d7adce914a574f4,True,238.904,20.5,0.0,133328.0,0,0.0,120618560,14.2,118.619,259.404,132.819,-0.443661971830986,-0.9530639441646152
3,167f4ff9e3c51d9a6b63ab28d67aa552,True,77.372,20.2,0.0,13677.0,0,0.0,1833466120,11.6,46.992,97.572,58.592,-0.7413793103448276,-0.6652785363189515
3,289b81fdcd7a010a25db1ced285dcad3,False,,301.0,,,0,1.0,2037997086,13.4,137.049,,150.449,-inf,-inf
3,c7a1479e94a5c09095490172b7e3a55c,True,77.949,18.5,0.0,13995.0,0,0.0,769297980,11.3,46.605,96.449,57.905,-0.6371681415929202,-0.6656419998273033
3,9662ab925e647efa30fe41af417d2b43,True,84.469,18.5,0.0,11572.0,0,0.0,9401649,13.9,48.872,102.969,62.772,-0.3309352517985611,-0.640365130950105
3,8003d7943865ac97bf6eec0f8cf55fd6,True,255.04,20.4,0.0,127666.0,0,0.0,997757464,11.9,126.169,275.44,138.069,-0.7142857142857141,-0.9949445567071539
3,2f3734a8984c0aa5ad836bb153d7c5f9,True,89.76,18.1,0.0,10245.0,0,0.0,1415725536,12.2,55.972,107.86000000000001,68.172,-0.4836065573770494,-0.5821744997946373
3,ba9c3f3686f9ec9d95ca59fbd84dad32,True,175.25,19.2,0.0,129543.0,0,0.0,2006685547,10.6,100.189,194.45,110.78899999999999,-0.8113207547169812,-0.7551381454837575
3,1039c780420a5705dc6f73c715a203df,True,154.82,21.1,0.0,17287.0,0,0.0,961237644,14.4,89.037,175.92,103.43700000000001,-0.46527777777777785,-0.7007453812465556
3,a3ae43f5ba62091748442e840a196e90,True,66.365,18.4,0.0,12144.0,0,0.0,262477543,11.8,41.25,84.76499999999999,53.05,-0.5593220338983048,-0.5978322337417529
3,fbef23b119d4c6c8ab6a16a6d3a42acb,True,85.16,20.4,0.0,7754.0,0,0.0,262477543,13.0,55.15600000000001,105.56,68.156,-0.5692307692307691,-0.5487998121955513
3,bf2d3dc9cbd53c460931458e2fe80c99,True,20.468,70.9,0.0,3150870.0,0,0.0,2124985527,14.9,14.439,91.36800000000001,29.339,-3.758389261744967,-2.11421657179863
3,71cfe3b505d0bb01d3cf339037818a91,True,78.988,20.5,0.0,11628.0,0,0.0,1762183101,12.2,46.07,99.488,58.269999999999996,-0.6803278688524591,-0.7073622790458213
3,49d55507078e39d2ef24a88e789288e9,True,85.553,20.4,0.0,9987.0,0,0.0,1570131427,12.2,52.057,105.953,64.257,-0.6721311475409836,-0.6488942838912491
3,4ab3708ed772d73240ded4bca3877f6a,True,77.727,15.5,0.0,35474.0,0,0.0,1007545220,10.3,43.084,93.227,53.384,-0.5048543689320387,-0.7463472201408662
3,9cff9b79dfcc4d7dbc4f6ac83957553e,True,89.50399999999998,18.9,0.0,21775.0,0,0.0,464307573,12.7,57.18,108.40399999999997,69.88,-0.4881889763779527,-0.5512879221522606
3,d7ad04657c44391a56a7cd0f985b5dd4,True,266.822,19.4,0.0,152767.0,0,0.0,1243609504,11.2,138.483,286.222,149.683,-0.7321428571428571,-0.9121877567926885
3,216e9835c359cc729ce57ee57bbad1f9,True,82.075,22.1,0.0,48658.0,0,0.0,1902871736,12.7,50.502,104.17500000000001,63.202,-0.7401574803149609,-0.648286446631436
3,2ee735260a6d1e54159cffd3a091afa1,True,231.222,28.1,0.0,180654.0,0,0.0,2006685547,11.7,132.137,259.322,143.837,-1.401709401709402,-0.8028879912678937
3,11e5c89cd1d4a312b5c330441ec94eed,True,87.794,31.0,0.0,1037792.0,0,0.0,1902871736,21.9,47.875,118.794,69.775,-0.41552511415525123,-0.7025295592977425
3,ae7e3d6a24bae55c8f400f9ac201339b,True,102.514,21.0,0.0,24451.0,0,0.0,1902871736,14.2,57.665,123.514,71.865,-0.4788732394366198,-0.7186947749252071
3,e00e9c1229503428a9da3116c87424a8,True,94.703,21.2,0.0,74111.0,0,0.0,2124985527,13.0,56.347,115.903,69.34700000000001,-0.6307692307692307,-0.6713484361255713
3,39484a6796294443ef680764028f6f54,True,97.922,17.5,0.0,53128.0,0,0.0,1644943262,10.2,48.909,115.422,59.108999999999995,-0.715686274509804,-0.952697558747399
3,64c49d8e2d7b2679f277aee5deaa5a04,True,297.034,22.4,0.0,195734.0,0,0.0,338549758,11.1,157.389,319.43399999999997,168.489,-1.018018018018018,-0.8958745081281269
3,b53d533b59eb19b5de466cd7b9345a1e,True,122.959,23.8,0.0,33986.0,0,0.0,464307573,16.4,72.933,146.75900000000001,89.333,-0.45121951219512213,-0.6428307568311824
3,1dc33abe496707b0c59f574fa8ad478c,True,121.82,21.5,0.0,34390.0,0,0.0,464307573,15.5,67.688,143.32,83.188,-0.3870967741935484,-0.722844641053998
3,ea56a7476ed9516f1fe4e159eef68e49,True,72.788,18.8,0.0,12887.0,0,0.0,1217390015,12.8,46.403,91.588,59.203,-0.46875,-0.5470161985034541
3,aadb47cf553fd0f3fca7698ddfbf2aac,True,95.497,20.3,0.0,62525.0,0,0.0,1844253989,12.8,51.847,115.797,64.647,-0.5859375,-0.7912200102092902
3,e9c7e36ab9b9d9db239962c7b55a062c,True,89.811,17.6,0.0,12358.0,0,0.0,2070961743,10.5,50.75,107.411,61.25,-0.6761904761904763,-0.7536489795918367
3,8e4d9468d544995bbf840467f250aece,True,81.84100000000002,18.3,0.0,39766.0,0,0.0,585091262,14.3,46.49,100.14100000000002,60.790000000000006,-0.2797202797202797,-0.6473268629708835
3,c763778f76f4ce092b3a46a0eb1cbcc9,True,73.423,16.8,0.0,49376.0,0,0.0,35506082,12.0,42.775,90.223,54.775,-0.4000000000000001,-0.6471565495207668
3,30d8dfda6c9c022d6900833d2a32a37e,True,79.863,14.7,0.0,13842.0,0,0.0,35506082,10.2,51.379,94.563,61.57899999999999,-0.44117647058823534,-0.5356371490280779
3,363b4afb8208163699076c0310de4f9a,True,85.839,20.6,0.0,37802.0,0,0.0,585091262,14.1,50.82,106.439,64.92,-0.46099290780141855,-0.6395409735058533
3,aac9cbbdc85a02b6e70df15a2c0e9962,True,72.507,18.2,0.0,61298.0,0,0.0,35506082,11.9,37.958,90.70700000000001,49.858,-0.5294117647058822,-0.8193068314011797
3,4e33f3457e988bad155441d4fc889eb6,True,98.381,21.0,0.0,36505.0,0,0.0,1217390015,13.8,55.303,119.381,69.103,-0.5217391304347825,-0.7275805681374182
3,5e179ea386a8207728c3bcee054c9be7,True,76.506,16.6,0.0,35627.0,0,0.0,35506082,12.0,44.968,93.106,56.968,-0.38333333333333347,-0.6343561297570564
3,0d232eeefb5b9e6d85ed55da12bba991,True,81.202,22.2,0.0,31696.0,0,0.0,35506082,13.2,48.842,103.402,62.042,-0.6818181818181819,-0.6666451758486186
3,3a87642fdda14eb1faf62685bed67543,True,124.521,22.8,0.0,32996.0,0,0.0,1217390015,13.8,70.40100000000002,147.321,84.20100000000002,-0.6521739130434783,-0.7496348024370252
3,1c6d20e3e954fb4f9308e89e19ebb1ed,True,125.051,25.0,0.0,43732.0,0,0.0,585091262,15.1,77.217,150.051,92.317,-0.6556291390728477,-0.6253886066488296
3,5e2a1e707b0df228e0aab443d373342a,True,87.059,27.2,0.0,74433.0,0,0.0,35506082,11.2,52.58,114.259,63.78,-1.4285714285714286,-0.7914550015678896
3,062c6739d91e193cf2f64d712f9587a0,True,75.23899999999998,17.7,0.0,39641.0,0,0.0,2124985527,11.5,42.99100000000001,92.93899999999998,54.49100000000001,-0.5391304347826086,-0.7055844084344197
3,8cb05899c01f1dc6ce6f0ecab51b545c,True,142.654,23.7,0.0,88275.0,0,0.0,1217390015,13.9,81.404,166.35399999999998,95.304,-0.7050359712230215,-0.7455091076974731
3,206d607961774cdb6139900d0795837b,True,93.097,21.4,0.0,36120.0,0,0.0,2124985527,12.5,56.965,114.49699999999999,69.465,-0.7119999999999999,-0.6482689124019287
3,f73c0bf1dd3a9f3c959a6569043af29d,True,103.817,21.2,0.0,40662.0,0,0.0,2124985527,13.2,61.94,125.017,75.14,-0.6060606060606061,-0.6637875964865584
3,e4eb2d54bc44e018db34c1b745f314bb,True,76.123,17.5,0.0,35993.0,0,0.0,840069750,11.1,45.87300000000001,93.623,56.97300000000001,-0.5765765765765766,-0.6432871711161424
3,638837e7ed651897400e9a2f118f1b4e,True,77.32300000000002,19.8,0.0,23551.0,0,0.0,840069750,13.4,50.767,97.12300000000002,64.167,-0.47761194029850745,-0.5135973319619122
3,d2b843b3dbfa5994a1359d5349bc7dab,True,75.278,16.1,0.0,30299.0,0,0.0,1902871736,12.7,45.552,91.37800000000001,58.251999999999995,-0.26771653543307106,-0.5686671702259154
3,8a16e1a01ee7b50481e7f860e2dfaf83,True,79.185,17.1,0.0,47985.0,0,0.0,1644943262,11.0,48.594,96.285,59.594,-0.5545454545454547,-0.6156827868577373
3,401d3fc4d1478bc5f9645f7edc6f5904,True,78.982,16.3,0.0,30079.0,0,0.0,1902871736,11.1,50.32100000000001,95.282,61.421000000000014,-0.46846846846846857,-0.5512935315283043
3,7659dc0883ac803858e61108c4d9bffa,True,85.646,21.6,0.0,41257.0,0,0.0,840069750,12.7,52.005,107.24600000000001,64.705,-0.7007874015748033,-0.6574607835561396
3,d3dd5e045b0a5410944b0caeaa83439e,True,237.441,18.7,0.0,38771.0,0,0.0,464307573,13.1,137.341,256.141,150.441,-0.42748091603053434,-0.7026010196688404
3,6a40010a678d7573cddfbcdc32e008d8,True,83.25399999999998,19.0,0.0,35743.0,0,0.0,1644943262,11.8,44.605,102.25399999999998,56.405,-0.6101694915254237,-0.8128534704370175
3,ee3f703a6acd3bbb9a7dd5e49da24bad,True,124.827,20.7,0.0,113983.0,0,0.0,35506082,14.1,69.35,145.527,83.44999999999999,-0.46808510638297873,-0.7438825644098264
3,4ca8e2b80ad14a92becc32fd0aa7b027,True,69.433,17.1,0.0,44968.0,0,0.0,464307573,12.5,44.408,86.53300000000002,56.908,-0.3680000000000001,-0.5205770717649542
3,635bb1d97388a0fe55143e8d2f5b6f62,True,91.006,21.4,0.0,49457.0,0,0.0,1644943262,14.0,63.197,112.406,77.197,-0.5285714285714285,-0.45609285334922345
3,a385028a74349afc35ce49b903e75f24,True,70.725,15.0,0.0,28944.0,0,0.0,1007545220,11.3,40.632,85.725,51.932,-0.32743362831858397,-0.6507163213432949
3,204450f90173f163034c5b65dd54ffd7,True,86.301,17.2,0.0,45228.0,0,0.0,1844253989,12.3,51.256,103.501,63.556,-0.39837398373983723,-0.6285008496444082
3,2bf836229966999b8aace89255dad895,True,118.703,21.1,0.0,84719.0,0,0.0,2124985527,13.2,71.392,139.803,84.592,-0.5984848484848487,-0.6526740117268772
3,7f9ba27e72d31f5122447973964d11a6,True,128.014,19.1,0.0,68449.0,0,0.0,2124985527,11.6,78.814,147.114,90.41399999999999,-0.6465517241379312,-0.6271152697591084
3,18ce785db22aee1f8157c7d1cf67f3c1,True,79.39699999999998,19.2,0.0,81338.0,0,0.0,464307573,11.9,44.951,98.59699999999998,56.851,-0.6134453781512604,-0.7343054651633213
3,db5dbb3206ce9eb0fcdeebcfb2d10624,False,,301.0,,,0,1.0,464307573,13.2,194.679,,207.879,-inf,-inf
3,c99f4abd3a30347cc6fba2d123bbecad,True,83.478,19.7,0.0,30940.0,0,0.0,196911426,11.6,43.966,103.178,55.566,-0.6982758620689655,-0.8568549112766799
3,108749969b94361fcc6227f5c7e8d1f0,True,84.46700000000001,18.6,0.0,55933.0,0,0.0,196911426,10.0,50.139,103.06700000000001,60.139,-0.8600000000000001,-0.713812999883603
3,f6cef02bc382946f52cbfbe208f93ddd,True,291.327,20.5,0.0,217224.0,0,0.0,464307573,11.8,168.183,311.827,179.983,-0.7372881355932203,-0.732535850608113
3,43bd23060224c78a6abb9375767b6a8e,True,101.833,20.1,0.0,94128.0,0,0.0,1926475017,11.0,57.42,121.93299999999999,68.42,-0.8272727272727274,-0.7821251096170709
3,03b78450d6c380c354e0379ca857e498,True,69.668,20.3,0.0,35293.0,0,0.0,581655125,11.9,42.187,89.968,54.086999999999996,-0.7058823529411765,-0.663394161258713
3,9b2c73aa656dfc3a6f0993c7c0a7d7aa,True,79.327,21.4,0.0,62733.0,0,0.0,1249572440,12.6,46.72,100.727,59.32,-0.6984126984126984,-0.6980276466621713
3,08ae6a48233716fcca01fdeca21008fe,True,286.365,20.1,0.0,82639.0,0,0.0,2124985527,12.1,158.45600000000005,306.46500000000003,170.55600000000004,-0.6611570247933886,-0.7968585098149579
3,06b31b4f1c9d57ef0e2780d999ef24a1,True,85.135,19.2,0.0,43837.0,0,0.0,1249572440,10.8,49.539,104.33500000000001,60.339,-0.7777777777777776,-0.729146986194667
3,7b00ce9d058790e5d6219622125cb5d7,True,75.92699999999998,17.0,0.0,48732.0,0,0.0,192716508,10.8,46.482,92.92699999999998,57.282,-0.574074074074074,-0.6222722670297822
