feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-159-809507184,model,0.0,0.0,0.0,77.059,0.0,0.0,28.7,0.0,2708.0,yes,2019-08-20 11:44:51: ../wrapper.py 159 1 809507184 tuning -nbCharacter_middle 17 -nbCharacter_delta 4 -maxDist_middle 5 -maxDist_delta 2 -codeWordLength_middle 23 -codeWordLength_delta 22 -numOfCodeWords_middle 18 -numOfCodeWords_delta 6 -dist_range_middle 5 -dist_range_delta 6 -minDist_middle 23 -minDist_delta 1,a24fcfb73a041639d27a192aa265ca37,sat + graded,159,809507184,1.0,220.0,Seed5-irace-5000/chosenInstances
1,inst-11-1243161153,model,0.0,0.0,0.0,253.65200000000002,0.0,0.0,73.6,0.0,70444.0,yes,2019-08-20 13:19:33: ../wrapper.py 11 1 1243161153 tuning -nbCharacter_middle 1 -nbCharacter_delta 5 -maxDist_middle 13 -maxDist_delta 9 -codeWordLength_middle 22 -codeWordLength_delta 22 -numOfCodeWords_middle 38 -numOfCodeWords_delta 10 -dist_range_middle 9 -dist_range_delta 11 -minDist_middle 49 -minDist_delta 27,df9a5c36a6c7e0b7d2d9b83a36624f44,sat + graded,11,1243161153,1.0,228.0,Seed5-irace-5000/chosenInstances
1,inst-40-1243161153,model,0.0,0.0,0.0,131.95,0.0,0.0,64.0,0.0,15124.0,yes,2019-08-20 13:19:33: ../wrapper.py 40 1 1243161153 tuning -nbCharacter_middle 31 -nbCharacter_delta 6 -maxDist_middle 2 -maxDist_delta 7 -codeWordLength_middle 3 -codeWordLength_delta 21 -numOfCodeWords_middle 19 -numOfCodeWords_delta 2 -dist_range_middle 5 -dist_range_delta 25 -minDist_middle 13 -minDist_delta 1,72f877d7478d64ffe1e38331e2d78f34,sat + graded,40,1243161153,1.0,239.0,Seed5-irace-5000/chosenInstances
1,inst-52-1243161153,model,0.0,0.0,0.0,139.71200000000002,0.0,0.0,79.9,0.0,101596.0,yes,2019-08-20 13:19:33: ../wrapper.py 52 1 1243161153 tuning -nbCharacter_middle 28 -nbCharacter_delta 6 -maxDist_middle 29 -maxDist_delta 11 -codeWordLength_middle 17 -codeWordLength_delta 4 -numOfCodeWords_middle 12 -numOfCodeWords_delta 2 -dist_range_middle 10 -dist_range_delta 22 -minDist_middle 1 -minDist_delta 139,aa08c585359998140d38b7a7f7066720,sat + graded,52,1243161153,1.0,240.0,Seed5-irace-5000/chosenInstances
1,inst-111-1243161153,model,0.0,0.0,0.0,246.96400000000003,0.0,0.0,135.4,0.0,2542.0,yes,2019-08-20 13:19:37: ../wrapper.py 111 1 1243161153 tuning -nbCharacter_middle 43 -nbCharacter_delta 1 -maxDist_middle 2 -maxDist_delta 1 -codeWordLength_middle 21 -codeWordLength_delta 4 -numOfCodeWords_middle 11 -numOfCodeWords_delta 1 -dist_range_middle 1 -dist_range_delta 23 -minDist_middle 16 -minDist_delta 13,b786a22b301adb4d4bcde6bdb46552bb,sat + graded,111,1243161153,1.0,258.0,Seed5-irace-5000/chosenInstances
1,inst-159-1243161153,model,0.0,0.0,0.0,154.132,0.0,0.0,118.3,0.0,163262.0,yes,2019-08-20 13:19:41: ../wrapper.py 159 1 1243161153 tuning -nbCharacter_middle 17 -nbCharacter_delta 4 -maxDist_middle 5 -maxDist_delta 2 -codeWordLength_middle 23 -codeWordLength_delta 22 -numOfCodeWords_middle 18 -numOfCodeWords_delta 6 -dist_range_middle 5 -dist_range_delta 6 -minDist_middle 23 -minDist_delta 1,08c041982bf53b3d9f7a035d9121bc4e,sat + graded,159,1243161153,1.0,274.0,Seed5-irace-5000/chosenInstances
1,inst-4-1323164217,model,0.0,0.0,0.0,34.585,0.0,0.0,185.8,0.0,269988.0,yes,2019-08-20 13:29:44: ../wrapper.py 4 1 1323164217 tuning -nbCharacter_middle 6 -nbCharacter_delta 7 -maxDist_middle 1 -maxDist_delta 1 -codeWordLength_middle 7 -codeWordLength_delta 5 -numOfCodeWords_middle 40 -numOfCodeWords_delta 15 -dist_range_middle 13 -dist_range_delta 18 -minDist_middle 128 -minDist_delta 203,56bbe773b63ee8f01024e9c7e23c2e8d,sat + graded,4,1323164217,1.0,279.0,Seed5-irace-5000/chosenInstances
1,inst-28-1323164217,model,0.0,0.0,0.0,287.585,0.0,0.0,247.7,0.0,677594.0,yes,2019-08-20 13:29:44: ../wrapper.py 28 1 1323164217 tuning -nbCharacter_middle 15 -nbCharacter_delta 3 -maxDist_middle 10 -maxDist_delta 9 -codeWordLength_middle 45 -codeWordLength_delta 15 -numOfCodeWords_middle 19 -numOfCodeWords_delta 12 -dist_range_middle 4 -dist_range_delta 6 -minDist_middle 12 -minDist_delta 294,619df301d3859afeb0112ae95c99199e,sat + graded,28,1323164217,1.0,289.0,Seed5-irace-5000/chosenInstances
1,inst-52-1323164217,model,0.0,0.0,0.0,87.624,0.0,0.0,59.9,0.0,49008.0,yes,2019-08-20 13:29:44: ../wrapper.py 52 1 1323164217 tuning -nbCharacter_middle 28 -nbCharacter_delta 6 -maxDist_middle 29 -maxDist_delta 11 -codeWordLength_middle 17 -codeWordLength_delta 4 -numOfCodeWords_middle 12 -numOfCodeWords_delta 2 -dist_range_middle 10 -dist_range_delta 22 -minDist_middle 1 -minDist_delta 139,321ef522829d34240421419ad64221f2,sat + graded,52,1323164217,1.0,293.0,Seed5-irace-5000/chosenInstances
1,inst-57-1323164217,model,0.0,0.0,0.0,32.641999999999996,0.0,0.0,15.1,0.0,30114.0,yes,2019-08-20 13:29:44: ../wrapper.py 57 1 1323164217 tuning -nbCharacter_middle 12 -nbCharacter_delta 10 -maxDist_middle 2 -maxDist_delta 11 -codeWordLength_middle 25 -codeWordLength_delta 3 -numOfCodeWords_middle 10 -numOfCodeWords_delta 4 -dist_range_middle 8 -dist_range_delta 8 -minDist_middle 1 -minDist_delta 122,dfdae5b95224fb664b05dd04afbadbc9,sat + graded,57,1323164217,1.0,295.0,Seed5-irace-5000/chosenInstances
