instance,clusterIndex,isClusterCenter
a15dac42ee0d305df26a570c6c93819d,60575823905,0
e96f5cd3ac424948a6db8fa7e6cbff5f,35026364008,0
3cd4d24a8c9aede8be7ffc304fa4f3eb,13650525565,0
782bf7d24039dafd1b60c2e3aba63167,42858908268,0
c7c09dd143659c9653efb6e6b2e8165c,42858908268,0
5428122a758fd54a8504716162c2c603,88708551710,0
19c197490c7469af1839cc6f4927155b,42858908268,0
32264f5874ad6ca0185da739e5752ef9,92709423618,0
322631c3e9211d9aa8c9abbf31a23d34,29346094171,0
67e0fa86713312332ca9daac973d0ffa,35026364008,0
8dd125bdc46c7278c64dd80a447322e8,88708551710,0
dff55bbda8b1e5938064748e0517b07a,35026364008,0
9ff46fea4e6881b3419cd19ad7d74cd2,61726228080,0
f5f186c51d37c1bed4657cf862c1e7f4,35026364008,0
8baa12d54442837c6d345121888ae25b,69969835952,0
a807c7ad642b51c98d2d89f393aed3c2,35026364008,1
c2d4875e4349541f240646e0d1d009e1,88574477170,0
626535288302dfeb363d3b852fd2a8ac,42858908268,0
4c3d2acef57b3066fc9965ee30aec6c2,60575823905,0
62214659c4e945ad324601344ea38347,60575823905,0
06ef27e32ed1a0647dec046b2bf35808,13650525565,0
64c0359e8b59ba11ee329a30936ef3a7,92709423618,0
dd6abe82e122f732c633fb01ac22b70e,34109809852,1
99d7af6f98a287e3da4583706748d3be,29346094171,0
3526528ceb4a321b75825c3024f2246c,61726228080,0
c6c12092a8da77cb54d5de6823e6e9f2,25903129950,0
e294b878575f85cdbcae6f4d3ae999d0,69969835952,0
a83b503e5f6260597de3ba987d903113,88574477170,0
0ca992ad9785040c7a7451d98d3d670a,55343060357,0
339ce62086d28e05ecb273e91b5cb54e,22026791818,1
3172d1982d7cc1207fff12ce1a464b67,13650525565,1
5aa596c2f7880f54d3dccbf871c406b0,92709423618,0
02141ee5733f79fa7d073f235e4f2562,29346094171,0
2c88fc8c200dbaeeab2aca7188440e77,61726228080,0
88a9790ab722b86974fe81c9747ab94e,25903129950,0
0547066257a272d26a2685d3cbde84d5,69969835952,0
503013b6777e43ee62acbcdf9ed61746,88574477170,0
4bfb326790212b74a7f114d9a5b296c1,55343060357,0
f119586ee6a08e7650c1a7d9f235db1e,13650525565,0
798540aee92e26ff8d298825e8b6787d,92709423618,0
7216dae1aa83e2ebbc05d04e1fb827d0,34109809852,0
5176d45d2b7d6498d8ad52ab7dae10bc,29346094171,0
9cdf7dde05edc7df4193fb6f211b9fea,35026364008,0
6de7bf7c8c8ba5cd0e4202423d43d200,25903129950,0
ce9f294ddc7cab3c7ed0107a4df7cf1c,69969835952,0
32c74a53add487fa71333611ce4f4c5e,88574477170,0
a02d13a3d3dec7ef49996606582d32b5,55343060357,0
3b984d8a6f15071df3b6baff9276a572,22026791818,0
495b35f0a34144aa795b0b5a5cf71b98,13650525565,0
619e3d151a92833115aa9b982e778769,89325744079,0
5a544612c876b166e578c1d72cebb654,29346094171,0
a5c651295580e155b8b64f36ec2042fa,69969835952,0
022b387e02a516e0001ea380b01f86e7,88574477170,0
e2613c38df62da6acc3d33579f9509d3,13650525565,0
0160f7850a58d1ee152b5d3d22120bde,29346094171,0
7ce5219162949325d2976026a44bcfa4,69969835952,0
e5798acfd7e3b8917b532531efbcb8a0,88574477170,0
4ede15fc0aca0ee8f31552dcbc0fe5c7,29346094171,0
62ff19003ca8669f83c4bdce271d3a62,69969835952,0
38efe56c56c6b53b9a9fda51e12e7c6d,88574477170,0
ea4959522923da2eb30b06beff651c77,14536252325,0
e4d99254dbbf13db94352cfe74736123,35026364008,0
3d7ebd9164a9059d09c192e9bdf712c0,94813517818,0
9827608f7f9fd158ff43996728d3c4c3,71029882320,0
516bbc0be622cf72f522e3bebf87d65c,35026364008,0
315c7783af2ab004592da43952fbf625,35026364008,0
501bd00bd7782a64c80eba041369a301,88708551710,0
2e493befcc5cf7572b4db05530c34724,35026364008,0
cfc10e59a4296819804cb88c781fe2da,90741000543,0
58c6898b8f75c67a6e459e27e23d1c3f,31499425484,0
a6be36e443ada2e40184756d11d73aba,88708551710,0
0d044ba151a18e94bae069048e22d864,62633605280,1
439030d9ba878b285c392c53fdb76beb,25105543632,0
1cbbac7a78aa37b1d34a280825ebe886,54544389707,0
7e4939e522d492d699fcf8590ca34a93,35026364008,0
266f16b2cd8dbbec1ed9a62ab16ad60c,35026364008,0
a4364de721da14a2507c03f0fbaddeb0,39858127316,0
add34b621b481e6b022dc2d847a686bf,35026364008,0
133f093f98587f6511845033caff3db8,39858127316,0
859a4f1a0a6723536d58e5be2977b473,51357274869,0
6a36aafa3c23f36b1d3847e2dbb5879a,32907791766,0
df8f38c55cfe2925b7b04286dcc0e5c9,94509219329,0
ea9599924bb9516f43ae0708a4dd0062,35026364008,0
