BaseModelTime,Instance,RunId,SavileRowClauseOut,SavileRowTimeOut,SavileRowTotalTime,Seed,SolverFileHash,SolverNodes,SolverSatisfiable,SolverTimeOut,SolverSolveTime,Streamliner,backjumps,baseMem,boolVariables,failures,initTime,intVars,nogoods,objective,peakDepth,peakMem,propagations,propagators,randomSeed,restarts,solveTime,time,trailMem,variables,SavileRowMemOut
300.0,cb6d5124e0f327b04fb2a9032c970025.param,0.0,0.0,0.0,0.48,388100837.0,b38ff844d860333d19e03bf2e1934002,3933.0,1.0,0.0,0.14,4-10,1189.0,0.0,4119.0,2501.0,0.012,323.0,2501.0,-1.0,35.0,0.0,74510.0,90.0,388100837.0,14.0,0.086,0.098,0.01,4444.0,False
300.0,cb6d5124e0f327b04fb2a9032c970025.param,1.0,0.0,0.0,0.486,388100837.0,b38ff844d860333d19e03bf2e1934002,3933.0,1.0,0.0,0.135,4-10,1189.0,0.0,4119.0,2501.0,0.012,323.0,2501.0,-1.0,35.0,0.0,74510.0,90.0,388100837.0,14.0,0.086,0.098,0.01,4444.0,False
300.0,cb6d5124e0f327b04fb2a9032c970025.param,2.0,0.0,0.0,0.528,388100837.0,b38ff844d860333d19e03bf2e1934002,3933.0,1.0,0.0,0.138,4-10,1189.0,0.0,4119.0,2501.0,0.012,323.0,2501.0,-1.0,35.0,0.0,74510.0,90.0,388100837.0,14.0,0.08900000000000001,0.10099999999999999,0.01,4444.0,False
300.0,6a519f050633eadb7959d07d59137f3c.param,0.0,0.0,0.0,0.414,1100722462.0,9b9aba20faf8eb48a6df1a65bb07671a,8773.0,1.0,0.0,0.248,4-10,266.0,0.0,2485.0,7801.0,0.008,222.0,7801.0,-1.0,35.0,0.0,132255.0,66.0,1100722462.0,30.0,0.203,0.21100000000000002,0.01,2709.0,False
300.0,6a519f050633eadb7959d07d59137f3c.param,1.0,0.0,0.0,0.44799999999999995,1100722462.0,9b9aba20faf8eb48a6df1a65bb07671a,8773.0,1.0,0.0,0.26899999999999996,4-10,266.0,0.0,2485.0,7801.0,0.013999999999999999,222.0,7801.0,-1.0,35.0,0.0,132255.0,66.0,1100722462.0,30.0,0.204,0.218,0.01,2709.0,False
300.0,6a519f050633eadb7959d07d59137f3c.param,2.0,0.0,0.0,0.41100000000000003,1100722462.0,9b9aba20faf8eb48a6df1a65bb07671a,8773.0,1.0,0.0,0.253,4-10,266.0,0.0,2485.0,7801.0,0.008,222.0,7801.0,-1.0,35.0,0.0,132255.0,66.0,1100722462.0,30.0,0.207,0.215,0.01,2709.0,False
300.0,d97f65c2649e4e707bf9c783ee9e5c4c.param,0.0,0.0,0.0,0.602,68988760.0,7d96f7e2867a8de464bc9a2399e0ef20,400324.0,1.0,0.0,57.893,4-17,54275.0,0.0,6769.0,331877.0,0.017,422.0,331877.0,-1.0,47.0,0.0,7095265.0,95.0,68988760.0,716.0,57.827,57.843999999999994,0.02,7193.0,False
300.0,d97f65c2649e4e707bf9c783ee9e5c4c.param,1.0,0.0,0.0,0.575,68988760.0,7d96f7e2867a8de464bc9a2399e0ef20,400324.0,1.0,0.0,56.49800000000001,4-17,54275.0,0.0,6769.0,331877.0,0.017,422.0,331877.0,-1.0,47.0,0.0,7095265.0,95.0,68988760.0,716.0,56.427,56.443999999999996,0.02,7193.0,False
300.0,d97f65c2649e4e707bf9c783ee9e5c4c.param,2.0,0.0,0.0,0.596,68988760.0,7d96f7e2867a8de464bc9a2399e0ef20,400324.0,1.0,0.0,55.349,4-17,54275.0,0.0,6769.0,331877.0,0.017,422.0,331877.0,-1.0,47.0,0.0,7095265.0,95.0,68988760.0,716.0,55.28,55.297,0.02,7193.0,False
300.0,491b0a54b1672a02731f2b58c58c7280.param,0.0,0.0,0.0,0.583,520201018.0,18e8aa51159a993646c7d81e2a64675d,419298.0,1.0,0.0,56.46,4-17,18098.0,0.0,6817.0,385460.0,0.017,433.0,385460.0,-1.0,54.0,0.0,6610610.0,83.0,520201018.0,820.0,56.385,56.402,0.02,7252.0,False
