
@RELATION ALGORITHM_RUNS_2013-SAT-Competition
@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE TotalSolverTime NUMERIC
@ATTRIBUTE runstatus {ok}
@DATA
6a519f050633eadb7959d07d59137f3c,0.0,2,88.82500000000002,ok
6a519f050633eadb7959d07d59137f3c,1.0,2,88.78400000000002,ok
6a519f050633eadb7959d07d59137f3c,2.0,2,88.77400000000002,ok
1edf557f34df5d0c553e4632b24cb0d3,0.0,2,47.478,ok
1edf557f34df5d0c553e4632b24cb0d3,0.0,2,47.496,ok
1edf557f34df5d0c553e4632b24cb0d3,1.0,2,47.495000000000005,ok
0ddc726bf9b67381801bd37c3e61c121,0.0,2,0.478,ok
0ddc726bf9b67381801bd37c3e61c121,1.0,2,0.39499999999999996,ok
0ddc726bf9b67381801bd37c3e61c121,0.0,2,0.39,ok
9bd90256e7597aab3460612fb2a50a0f,0.0,2,66.363,ok
9bd90256e7597aab3460612fb2a50a0f,1.0,2,66.432,ok
9bd90256e7597aab3460612fb2a50a0f,2.0,2,66.43700000000001,ok
7b87a4dedce14cdcbae9e9b8f4a9f91e,0.0,2,43.964999999999996,ok
7b87a4dedce14cdcbae9e9b8f4a9f91e,1.0,2,43.955,ok
7b87a4dedce14cdcbae9e9b8f4a9f91e,2.0,2,44.001,ok
6002d8d3bf334b81633899a4a650b8d7,0.0,2,62.813,ok
6002d8d3bf334b81633899a4a650b8d7,1.0,2,62.868,ok
6002d8d3bf334b81633899a4a650b8d7,2.0,2,62.884,ok
ed3d1c037f08d2f6b900519f6ea44f93,0.0,2,84.243,ok
ed3d1c037f08d2f6b900519f6ea44f93,1.0,2,84.296,ok
ed3d1c037f08d2f6b900519f6ea44f93,2.0,2,84.239,ok
9c3349f0edcebf63cd7a079a3507eca0,0.0,2,0.286,ok
9c3349f0edcebf63cd7a079a3507eca0,1.0,2,0.33799999999999997,ok
9c3349f0edcebf63cd7a079a3507eca0,2.0,2,0.312,ok
dc85c0fdaa288911481b39919a0b9e1d,0.0,2,77.822,ok
dc85c0fdaa288911481b39919a0b9e1d,1.0,2,77.82600000000001,ok
dc85c0fdaa288911481b39919a0b9e1d,2.0,2,77.834,ok
b3adec954404eafdc8ff425bd6011553,0.0,2,0.376,ok
b3adec954404eafdc8ff425bd6011553,1.0,2,0.475,ok
b3adec954404eafdc8ff425bd6011553,2.0,2,0.361,ok
d24f808264ee39c959ba47cc6afaf66c,0.0,2,43.348,ok
d24f808264ee39c959ba47cc6afaf66c,1.0,2,43.34,ok
d24f808264ee39c959ba47cc6afaf66c,2.0,2,43.34,ok
8daed4e4e14435ccb3eeb5998db34490,0.0,2,0.275,ok
8daed4e4e14435ccb3eeb5998db34490,1.0,2,0.288,ok
8daed4e4e14435ccb3eeb5998db34490,0.0,2,0.296,ok
85e6662ca27a07daaf28694bab571b34,0.0,2,0.6639999999999999,ok
85e6662ca27a07daaf28694bab571b34,1.0,2,0.6379999999999999,ok
85e6662ca27a07daaf28694bab571b34,1.0,2,0.6379999999999999,ok
7474638298d4dbd8a498157a1ecca2c7,0.0,2,70.93299999999999,ok
7474638298d4dbd8a498157a1ecca2c7,1.0,2,70.947,ok
7474638298d4dbd8a498157a1ecca2c7,0.0,2,70.947,ok
d95d594f17fc3d0fe08d152ef094a1e9,0.0,2,60.252,ok
d95d594f17fc3d0fe08d152ef094a1e9,1.0,2,60.39,ok
d95d594f17fc3d0fe08d152ef094a1e9,2.0,2,60.317,ok
1aa4894fd2f0e6d1a8cd59cefa4f9c74,0.0,2,56.943000000000005,ok
1aa4894fd2f0e6d1a8cd59cefa4f9c74,1.0,2,56.961000000000006,ok
1aa4894fd2f0e6d1a8cd59cefa4f9c74,2.0,2,56.98500000000001,ok
23160bf62deb0582f5d3d97dfa7253af,0.0,2,44.498,ok
23160bf62deb0582f5d3d97dfa7253af,1.0,2,44.546,ok
23160bf62deb0582f5d3d97dfa7253af,2.0,2,44.622,ok
495a1a9af94d15663a72ae1c53d4f33c,0.0,2,41.48,ok
495a1a9af94d15663a72ae1c53d4f33c,1.0,2,41.518,ok
495a1a9af94d15663a72ae1c53d4f33c,2.0,2,41.456,ok
0b7c1fb03413e9c61d94a04b82c9c6bf,0.0,2,57.391000000000005,ok
0b7c1fb03413e9c61d94a04b82c9c6bf,1.0,2,57.272,ok
0b7c1fb03413e9c61d94a04b82c9c6bf,2.0,2,57.248000000000005,ok
4099e30dd963b0a4787f3b4388bf0d6d,0.0,2,66.21199999999999,ok
4099e30dd963b0a4787f3b4388bf0d6d,1.0,2,66.15899999999999,ok
4099e30dd963b0a4787f3b4388bf0d6d,2.0,2,66.163,ok
5b1989fd67a1e8cfb5245c924b3e4da9,0.0,2,71.241,ok
5b1989fd67a1e8cfb5245c924b3e4da9,1.0,2,71.254,ok
5b1989fd67a1e8cfb5245c924b3e4da9,0.0,2,71.147,ok
