instance,clusterIndex,isClusterCenter
9909733210d6fb7f73fabd30c5e9bce5,99435315312,0
cb2d9af7b4f3931103435755776d5d77,31677568268,0
4f2c97fde3ce41b40acc2873820661af,64299878453,0
10d5afbd41a511e757134c56f316e35e,35873628593,1
2622a7e7583d9f42800c18d588f437b8,18963748506,0
45026585bbfd6007b8c463796186d57c,18963748506,0
a6399989b3b06b53e9bb88afeefece3a,50694189471,0
67c453dbb64ae135cf7dbb3b330caefd,18963748506,0
0fdc70975a02870aea09b6612461b931,87208839792,0
aa92e7616cf2cacc2e71b675e0338785,5821121442,0
fff641182da94be3ac00d568970bcefb,27442035625,0
79a605ab1f7534cbe85e284f2dc36f83,67826882287,0
167cd553e05c7d54be4f3f2b674df17f,18963748506,0
8a6043db385366f40ead6a142883c9f1,5821121442,0
9f18c5ebf0fc7d54d9a2a6654f686512,18963748506,0
a56b3b6e3755687cc35d1ec3529908cb,67826882287,0
71a67e5aaef28249d02caa227bbc6cf4,35873628593,0
48db42bb669b394ec0faba509734cc17,35943607807,0
87da5dc98848c1f51dc787f0384bad2a,8479682618,0
74c6bc09831c7f848c14e2f3326c0b2f,80348165585,0
6f56729dbd3c3c8255ccc6ad74396ab9,38369163696,0
641d5f9af06fbbf59358ef48a0eba07c,99116732906,0
0a42e55cf8764d659ac7e26d9e51b08b,31677568268,0
ce729ecad968ea435976e7b7164a09b6,33548086949,0
0e453714a7d12d8502a7992c20df28a8,35943607807,0
1111a54ba2b57e1c35170bb3e79420a9,51020505131,0
070d4bd9fb62b788ea9ae415104ba5d0,18963748506,0
9c8eff856acfb6b1bbc778e124dd96c8,87208839792,0
814ec2fba6eda2eb24eb0d29257e2bc3,40541700775,0
adb4bebb1a1c72b46ac70da3d4846588,35943607807,0
5ab780d0b81a07010af12a9faef995c1,70499337265,0
4a609b54b276b0cd673e497514a0e786,57021817724,0
4a8b1023fa1cf91d7649903c4d6cfa2f,18963748506,0
101b115a7a0946e2187aaed5ae19319b,52104351302,0
be48ddc7728292f63802196459f04d75,38369163696,0
a266325f4ed3d2df2eebfe5782f05324,22949111003,0
081c4acc263a7141c7030be6a6cde8b0,35873628593,0
461ddd9e39584165ef60a18329936fc8,64299878453,0
5262210320283b6f0c4250df307bec4f,99116732906,1
6c604d6f6a6ce89f6d7070bbcd96ec02,35943607807,0
b6a888b54df7531c72ad74e3943bec11,18963748506,0
0f19240c8bd23844142da94143f612e4,65327292763,0
7d3eee7ecb3557006c07d5f116ed4a34,5821121442,0
344a48402cabade5d4ebe55cbaac34a8,18963748506,0
3639b5e4d9b9c7fa7db9c5b9c8fdf538,59502680732,0
a3753a30f34704528a764930e772d348,18963748506,0
247bcec37164251734119656701fa5ef,99116732906,0
ae6045c209a332397631662d1cfc1032,87208839792,0
e95173370cb623c5d81e90325ad285d0,18963748506,0
3fdaa6336a24919b6cb6e9ea0d1d9a30,14778166104,1
90166a5e3e98b88dadb97e4605cdd610,50694189471,0
cdbabec84d9b151841c83def971c3a0c,61342682156,0
306a549be197e579790d79b0a3312616,66841188751,0
71f1ffb6cd5386fe49cd68047a223afb,87208839792,0
61b0ab3305f96222277196b978165a29,18963748506,0
40716250530b6cb30c4f68adef5c8f3c,7470191181,0
daad7b43ec4a1b697eed1cc3a9482231,5821121442,0
84450a185785f9f8b1c84c4f073426f2,22949111003,0
78789799fb64cd24b87a5ebcb5354dea,52104351302,1
0bceeda595e52888b6b03aeafb989ca9,14696573157,0
356f34cf746108718a414387c741dd41,47625239851,0
6b96021e8aba44b765ef7a4900996ddc,66841188751,0
d82637ed9838924f65c44ede9f3bbc99,14778166104,0
185129d20df077add818b8ed1ce9c26f,18963748506,1
847ffd11ccafa64b11c13d1cd6cc8719,40541700775,0
145fb7a77997daa3a91b8e7b1b8aad67,70671703305,0
33b9687ddb87368dac66facd697ff6ab,18963748506,0
4418ec8a26e98c2df640777f23d74a0a,52104351302,0
f43884952d115ce456c36209e8343209,12660426202,0
613b7d3cb4b01faa9721f34142f3fc66,5821121442,0
ca9fad63d87314cc9b9a025a94ce0422,31677568268,0
bfbd1b12139573439496e00fda434f9c,38369163696,0
57eed5930b8cbf948f14c77d353cc98b,73770396063,0
dd3dae566fc6a4d34794f3141d5c6649,38369163696,0
ade618a99d891ae4617046d544b16768,38369163696,0
8c9924032250f79a0e3ed3fdd1bb1f13,18963748506,0
fcbebeba5f3caf9c663b0a9830ffe76e,73770396063,0
371a62251a1e611158c4b841cd29f495,14696573157,0
4b365addd09ba4f201dc34d8f402cfda,67826882287,0
1f278017ce7c047dfdb89d6ee59fc678,18963748506,0
8f544239243addd526a0de87203d8b58,47625239851,0
bbaab150f117d74185476a7c83259091,18963748506,0
3387c529c93ab9e5269b45000415bcfc,66841188751,1
fdad1381122d72981c07253fab369441,73770396063,0
26931133cdfcfc3853bb171b42b8cc1c,59502680732,0
3e5b5779145a14c659162f68626820a5,18963748506,0
140b2e055ec6140838d34901519cbe92,70499337265,0
4f765e700fd271796efe80dd0b3767e5,67826882287,0
ecbace2f11d66af4e65f4ed380183ca5,80348165585,1
97c095b267c81b294d83dffd4b1ed465,35873628593,0
95552e1b3e026e2fbef88e6d80036f38,47625239851,0
ee46de1626e6264cf9fd85a020650716,33548086949,0
0ef9255310f5ce4a7145bac16d5660eb,8524634177,0
856c49eee757a48c765ef7d93ff6b774,18963748506,0
48712ba4daf26169aea5ffde5ddddebb,27442035625,0
70629b2eae972d4358b3119d417b2ac7,20946612406,0
8094c9f6bb662f37e2e53858b97dcc08,18963748506,0
e36cc87ae292461740e8106f2f842eea,12660426202,0
befa37aa5b7bd308bc4f6b164073fbfc,40541700775,1
bf226357c92a0a7133c9235816123e89,88552725772,0
ccf1a202be48c3fc37134b2e6719aebe,8524634177,0
9a731b7c5bade068efce9f345d5df42b,73770396063,0
19434e22acdd0e7b8d07d343027d895b,71720010308,1
