instance,c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,v_sum_domdeg_vars
76ba81d4366f05655cf47a78230d8092,4.68865,4.92131,1.07929,0,0,0,2.48978,2.67875,0.211935,0,0.59758,0.59758,0.50849,41861.6,43728.8,306,710.51,2.32193,2,3.32193,1,21699,0,0.991773,45693,106787,23419.5,19250,0,21420,0,0,2295,459,0.887138,0,0.979021,0,0,0.105765,0.020979,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,459,0,0,0,4.65008,2.06294,0.894844,1.58379,0.208413,0.319328,0,0.648414,0.146903,0.484323,0,31314.4,22485.8,26,5,1,2,2,0.0769231,0,0,21879,0,1.0083,101739,45135,19578.3
83647777fb167ad43f698ecd0ab0dc4b,3.01232,8.42215,3.5753,0,0,0,2.96634,1.89317,0.0828864,0,0.105802,0.105802,0.105208,116875,316719,162,1005.93,6.20945,2,7.20945,1,109321,0,0.999735,326534,920718,390855,1332,0,107892,0,0,107892,1458,0.0121843,0,0.986667,0,0,0.986928,0.0133333,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1458,0,0,0,3.01152,2.96,0.999339,2.88942,2.78994,0.00571555,0,0.109959,0.102158,0,0,117052,116945,78,74,1,2,2,0.948718,0,0,109350,0,1.00027,329310,323676,109278
d13994ab86a82b097ab71c4c2593f6c2,4.8173,4.92604,1.03276,0,0,0,2.1181,2.2152,0.126824,0,0.422565,0.422565,0.334654,62838,64031.3,230,460,2,2,3,1,31653,0,0.997259,65146,155924,32690,29696,0,31280,0,0,1840,460,0.938173,0,0.985507,0,0,0.0581304,0.0144928,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,460,0,0,0,4.8041,2.02899,0.937687,2.28625,0.117803,0.244535,0,0.442775,0.109286,0.319337,0,41105.1,32200,49,4,1,2,2,0.0408163,0,0,31740,0,1.00275,152482,64400,29762.2
65e4a75b9dabb1cd30f81f722a6e0ef9,3.86053,4.02868,1.06111,0,0,0,2.25494,2.38459,0.231569,0,0.421531,0.421531,0.335986,95101.2,98682.3,172,516,3,2,3,1,59209,0,1.00508,121858,238534,62827,55680,0,58480,0,0,3440,430,0.940398,0,0.992701,0,0,0.0580993,0.00729927,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,430,0,0,0,3.88012,2.0438,0.9429,1.88074,0.249898,0.234687,0,0.390315,0.0623025,0.321037,0,73911.4,59770,33,8,1,2,2,0.0606061,0,0,58910,0,0.99495,228578,120400,55546.2
8dc7a9bcba3186cfaf630e28445e57b4,3.00305,8.65533,3.73721,0,0,0,3.48388,1.83901,0.0792017,0,0.100822,0.100822,0.100337,43602.3,121712,224,1457.75,6.50779,2,7.50779,1,41246,0,1.00073,123260,356998,154145,364,0,40768,0,0,40768,448,0.0088251,0,0.98913,0,0,0.988411,0.0108696,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,448,0,0,0,3.00524,2.96739,0.9996,3.19094,3.10991,0.00385944,0,0.0980761,0.0865042,1.77636e-15,0,43707.8,43683.5,95,91,1,2,2,0.957895,0,0,41216,0,0.999273,123864,122304,41199.5
bd764c925caf3628cc0be9001c02485b,3.02804,8.37304,3.53607,0,0,0,3.66503,2.32818,0.0688003,0,0.0799706,0.0799706,0.0794695,143063,389837,244,1490.48,6.10852,2,7.10852,1,135928,0,0.994789,406544,1.13813e+06,480651,1104,0,134688,0,0,134688,1952,0.00812195,0,0.985714,0,0,0.990878,0.0142857,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1952,0,0,0,3.01227,2.95714,0.999244,2.79146,2.68862,0.00631125,0,0.116565,0.108023,0,0,146765,146612,73,69,1,2,2,0.945205,0,0,136640,0,1.00524,411596,404064,136537
ba9f63a5a6d8091c3419264f965dafd1,3.02743,8.40956,3.55682,0,0,0,3.71076,2.34201,0.0679093,0,0.0777927,0.0777927,0.0773212,160041,437700,250,1537.44,6.14975,2,7.14975,1,152222,0,0.994915,455319,1.28012e+06,541427,1207,0,150875,0,0,150875,2125,0.00792921,0,0.986111,0,0,0.991151,0.0138889,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2125,0,0,0,3.01203,2.95833,0.999283,2.83119,2.7296,0.00606826,0,0.113598,0.105591,0,0,164106,163943,75,71,1,2,2,0.946667,0,0,153000,0,1.00511,460841,452625,152890
a4e018dae38a08dd1084240c30156f8d,3.01873,8.3491,3.52644,0,0,0,3.05186,2.04411,0.0800962,0,0.100524,0.100524,0.0999681,158333,426873,170,1038.45,6.10852,2,7.10852,1,148458,0,0.998037,443541,1.23949e+06,523528,1725,0,146625,0,0,146625,2125,0.0116194,0,0.985714,0,0,0.987653,0.0142857,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2125,0,0,0,3.01281,2.95714,0.999237,2.79244,2.68862,0.0063645,0,0.114991,0.108023,0,0,159774,159606,73,69,1,2,2,0.945205,0,0,148750,0,1.00197,448155,439875,148636
8c0e9fe8190ea1515a32956be971e09b,3.01755,8.62108,3.68407,0,0,0,3.5959,2.14514,0.0700789,0,0.0794717,0.0794717,0.079062,181177,503687,236,1512.62,6.40939,2,7.40939,1,172088,0,0.997519,514686,1.48358e+06,633985,1445,0,170510,0,0,170510,2006,0.00839687,0,0.988372,0,0,0.99083,0.0116279,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2006,0,0,0,3.01006,2.96512,0.999494,3.09375,3.00087,0.00468156,0,0.0981395,0.0914016,0,0,183496,183367,89,85,1,2,2,0.955056,0,0,172516,0,1.00249,519284,511530,172429
6cd1c43d57b644b44a4f36e4067ba1dc,3.01628,8.61792,3.68248,0,0,0,3.48621,2.09965,0.0718209,0,0.0823864,0.0823864,0.0819721,190956,529994,222,1422.88,6.40939,2,7.40939,1,181008,0,0.997982,541281,1.55991e+06,666558,1615,0,179265,0,0,179265,2109,0.00892226,0,0.988372,0,0,0.990371,0.0116279,0,0,0,0,0,0,-nan,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2109,0,0,0,3.01019,2.96512,0.999493,3.09402,3.00087,0.00469344,0,0.097767,0.0914016,0,0,192918,192782,89,85,1,2,2,0.955056,0,0,181374,0,1.00202,545971,537795,181282
