Instance,TotalTime,Satisfiable,Killed,TimeOut,Solver,conjure_RealTime,conjure_CPUTime,conjure_CPUUserTime,conjure_CPUSystemTime,conjure_CPUUsage,conjure_Timeout,savilerow_RealTime,savilerow_CPUTime,savilerow_CPUUserTime,savilerow_CPUSystemTime,savilerow_CPUUsage,savilerow_Timeout,lingeling_RealTime,lingeling_CPUTime,lingeling_CPUUserTime,lingeling_CPUSystemTime,lingeling_CPUUsage,lingeling_Timeout,solver_satisfiable,solver_conflicts,solver_ternaries,solver_binaries,solver_iterations,solver_reductions,solver_restarts,solver_decisions,solver_propagations,solver_percentageSimplifying,solver_percentageSearch,solver_randomSeed,solver_time
6b4b79d89cdaeffd38139146a0b9df44.param,165.407834,True,False,False,lingeling,0.388934,0.370202,0.357102,0.0131,95.1837,False,132.508,152.957,150.248,2.70819,115.432,False,32.5109,30.4542,29.2532,1.20098,93.6738,False,True,3131.0,20.0,16.0,2.0,1.0,25.0,181715.0,8984169.0,87.0,13.0,19371032,27.5
4b365addd09ba4f201dc34d8f402cfda.param,155.64545,True,False,False,lingeling,0.37575,0.36151,0.349733,0.011777,96.2103,False,14.6387,30.2433,29.0522,1.19107,206.598,False,140.631,140.081,139.512,0.569912,99.6095,False,True,177316.0,2556.0,90.0,0.0,29.0,695.0,5705123.0,261767148.0,24.0,76.0,569459731,139.5
0f14196d0afae49814c1018198635567.param,214.1509391,True,False,False,lingeling,0.0738391,0.382582,0.361726,0.020856,518.129,False,199.307,216.097,213.11,2.98713,108.424,False,14.7701,14.7232,14.1023,0.620862,99.6821,False,True,2174.0,57.0,72.0,0.0,0.0,22.0,293727.0,7535363.0,78.0,22.0,716030871,13.0
3f7c3335ec7cb3b422ee87d3e136f8f8.param,114.024888,True,False,False,lingeling,0.395248,0.377832,0.361956,0.015876,95.5936,False,9.99464,27.5968,26.8177,0.779117,276.116,False,103.635,103.258,103.034,0.224051,99.6369,False,True,50433.0,2402.0,75.0,3.0,8.0,3225.0,5049814.0,171640606.0,15.0,85.0,989800890,102.9
ea14ae3c02e8dc4b344cf3b0725a1e70.param,57.150041,True,False,False,lingeling,0.371141,0.369294,0.358379,0.010915,99.5023,False,37.8999,51.1805,49.7115,1.46908,135.041,False,18.879,18.8112,18.1246,0.686523,99.6409,False,True,31656.0,784.0,430.0,0.0,12.0,17.0,144060.0,7754409.0,83.0,17.0,19371032,18.1
a7cfbe56d20465d2d6eb720aea7e2d92.param,43.508326,True,False,False,lingeling,0.461626,0.432818,0.416697,0.016121,93.7595,False,29.7904,48.9356,47.5166,1.41901,164.267,False,13.2563,13.2015,12.7924,0.409184,99.5868,False,True,1607.0,18.0,15.0,2.0,0.0,52.0,203200.0,7946624.0,66.0,34.0,750180309,12.5
195a7baf1518d877db7d25dbe0d0a0d2.param,83.788453,True,False,False,lingeling,0.445153,0.419446,0.402554,0.016892,94.2251,False,72.4028,86.5604,84.7179,1.84247,119.554,False,10.9405,10.8981,10.4786,0.419478,99.6124,False,True,1047.0,3.0,1.0,0.0,0.0,9.0,311708.0,5852449.0,77.0,23.0,364773034,9.9
c15185fbcd893d1224fe8e67b1d4fd43.param,94.072153,True,False,False,lingeling,0.543753,0.515868,0.497934,0.017934,94.8718,False,85.9607,100.88,98.9682,1.91213,117.356,False,7.5677,7.5605,7.2748,0.285701,99.9049,False,True,942.0,6.0,9.0,0.0,0.0,5.0,164955.0,3290022.0,82.0,18.0,1646195835,6.2
07a791ad03850d2bda5ddcd86151ed66.param,245.502933,True,False,False,lingeling,0.429933,0.373102,0.357241,0.015861,86.7814,False,162.953,181.639,178.774,2.86452,111.467,False,82.12,81.3972,80.017,1.38022,99.1198,False,True,4587.0,37.0,28.0,2.0,1.0,437.0,2069641.0,105648159.0,39.0,61.0,1618562023,78.9
a6399989b3b06b53e9bb88afeefece3a.param,151.588503,True,False,False,lingeling,0.455673,0.440186,0.426287,0.013899,96.6013,False,141.663,157.741,155.301,2.44009,111.35,False,9.46983,9.45948,9.14808,0.311405,99.8907,False,True,799.0,18.0,52.0,0.0,0.0,19.0,174764.0,4499337.0,80.0,20.0,508299779,8.1
15523b42f711570dad95a5446bbde232.param,82.81235299999999,True,False,False,lingeling,0.031993,0.368995,0.348203,0.020792,1153.36,False,75.6201,93.0726,91.1715,1.90116,123.079,False,7.16026,7.13912,6.85224,0.286878,99.7047,False,True,837.0,0.0,0.0,0.0,0.0,5.0,54760.0,1314033.0,91.0,9.0,132362068,5.8
1d7a089e4dd4d362c528a9b183dc6118.param,50.669623,True,False,False,lingeling,0.384823,0.365036,0.335984,0.029052,94.8581,False,12.5369,30.9051,30.0269,0.878209,246.513,False,37.7479,37.5213,37.319,0.202285,99.3996,False,True,22297.0,373.0,25.0,2.0,5.0,155.0,1958433.0,72379498.0,23.0,77.0,81348047,37.2
b4d4e58c064a44ec8c3885e25e3b3264.param,181.349283,True,False,False,lingeling,0.569983,0.534799,0.5178,0.016999,93.8272,False,166.704,181.653,178.721,2.93162,108.967,False,14.0753,14.0303,13.6566,0.373694,99.6801,False,True,1462.0,0.0,0.0,0.0,0.0,9.0,739983.0,13456313.0,55.0,45.0,716030871,12.3
cb32e158ba0c541cce2b094de2f8a703.param,110.077026,True,False,False,lingeling,0.545626,0.530352,0.50742,0.022932,97.2007,False,97.2297,111.67,109.497,2.1734,114.852,False,12.3017,12.2604,11.7762,0.484274,99.6648,False,True,1272.0,11.0,13.0,0.0,0.0,13.0,280977.0,6328318.0,79.0,21.0,750180309,10.9
bbbfa8388cc2957f97789b7962d29e12.param,147.196465,True,False,False,lingeling,0.389965,0.36587,0.350929,0.014941,93.8212,False,126.431,144.954,142.335,2.61953,114.651,False,20.3755,20.3071,19.8547,0.4524,99.6645,False,True,618.0,14.0,9.0,2.0,0.0,57.0,310570.0,14579390.0,68.0,32.0,393115690,18.6
9255a3a87b03953362ce90171605ce0d.param,73.36027899999999,True,False,False,lingeling,0.397059,0.383273,0.370264,0.013009,96.528,False,63.3322,76.1482,74.6558,1.4924,120.236,False,9.63102,9.38455,9.16637,0.218177,97.4409,False,True,745.0,9.0,10.0,0.0,0.0,17.0,229655.0,4505095.0,79.0,21.0,508299779,8.0
3a5d0c28ec2a08513ec4c9dd83cb88c4.param,220.303506,True,False,False,lingeling,0.695506,0.375154,0.357174,0.01798,53.9397,False,12.64,31.7492,30.6591,1.09008,251.181,False,206.968,206.235,205.824,0.411009,99.646,False,True,175436.0,2625.0,112.0,4.0,27.0,5524.0,8409498.0,371544631.0,15.0,85.0,1534100310,205.8
7ab7e087bc8f1bf3b759b3d8b87d6db2.param,38.599114,True,False,False,lingeling,0.412214,0.374726,0.350951,0.023775,90.9057,False,22.8079,38.1374,36.8401,1.29722,167.211,False,15.379,15.3249,14.8975,0.427462,99.6485,False,True,6440.0,72.0,75.0,2.0,2.0,21.0,112749.0,5601608.0,87.0,13.0,508299779,14.7
356f34cf746108718a414387c741dd41.param,78.622144,True,False,False,lingeling,0.200044,0.368209,0.357219,0.01099,184.064,False,51.9091,71.4644,69.9238,1.54069,137.672,False,26.513,26.4404,25.9921,0.448278,99.7262,False,True,4178.0,32.0,21.0,1.0,1.0,365.0,841488.0,40828092.0,35.0,65.0,508299779,25.5
75c3d7f65ba451888daa4b38f95f8158.param,173.436493,True,False,False,lingeling,0.387193,0.3673,0.35654,0.01076,94.8623,False,160.978,178.815,175.98,2.83573,111.08,False,12.0713,12.5158,11.9679,0.547879,103.682,False,True,1286.0,57.0,41.0,0.0,0.0,17.0,224345.0,5366347.0,81.0,19.0,19371032,11.0
8e2aa3ba6030eb9d90feec78ebff1522.param,197.690847,True,False,False,lingeling,0.401647,0.365394,0.351519,0.013875,90.9739,False,12.3822,30.2153,29.3046,0.910744,244.023,False,184.907,184.221,183.814,0.407246,99.6291,False,True,62621.0,2225.0,48.0,4.0,10.0,4534.0,8650070.0,316391454.0,14.0,86.0,81348047,183.8
acc3c966fb714dcef3b8c5b1eb3ab000.param,222.772028,True,False,False,lingeling,0.406828,0.374939,0.359419,0.01552,92.1616,False,169.402,189.271,186.37,2.90055,111.729,False,52.9632,52.7727,51.7937,0.97895,99.6402,False,True,1961.0,17.0,27.0,2.0,0.0,186.0,948032.0,49733119.0,43.0,57.0,81348047,50.7
89b3b339da60e1afd423e6c9144e1624.param,126.445222,True,False,False,lingeling,0.448722,0.428807,0.404149,0.024658,95.5618,False,73.8489,95.6477,93.7697,1.87792,129.518,False,52.1476,51.6322,50.6726,0.959581,99.0117,False,True,4417.0,46.0,35.0,2.0,1.0,419.0,1511284.0,66510665.0,41.0,59.0,1646195835,50.3
36d4bfd5c4c3cae6ddc14ee2e3f62af3.param,319.689106,True,False,False,lingeling,0.453106,0.426722,0.411494,0.015228,94.1771,False,308.258,321.972,318.927,3.04462,104.449,False,10.978,10.3088,9.84929,0.459543,93.9046,False,True,1067.0,18.0,31.0,0.0,0.0,8.0,117362.0,3137027.0,86.0,14.0,81348047,8.3
ad7f70ea09c32bb2face0983a5672ec5.param,183.561999,True,False,False,lingeling,0.383199,0.366502,0.34404,0.022462,95.6427,False,169.121,185.97,183.071,2.89922,109.963,False,14.0578,13.5733,13.0081,0.565219,96.5532,False,True,4020.0,120.0,60.0,0.0,1.0,24.0,304390.0,7587189.0,77.0,23.0,1646195835,12.0
48cf4987820615992aa8371c41e2f1bb.param,176.573348,True,False,False,lingeling,0.410648,0.373026,0.357613,0.015413,90.8384,False,164.98,179.677,176.831,2.84613,108.909,False,11.1827,10.7722,10.4015,0.370691,96.3286,False,True,789.0,39.0,50.0,0.0,0.0,29.0,309784.0,8087783.0,67.0,33.0,508299779,9.3
97c095b267c81b294d83dffd4b1ed465.param,20.501028,True,False,False,lingeling,0.444928,0.415001,0.395179,0.019822,93.2737,False,5.9809,22.627,21.9698,0.657219,378.321,False,14.0752,13.9958,13.8902,0.105631,99.436,False,True,8146.0,423.0,19.0,3.0,1.0,748.0,933535.0,25644937.0,35.0,65.0,1909228284,13.8
674e3ed6a0aa3967e07e86985cc69123.param,12.180565,True,False,False,lingeling,0.395195,0.362236,0.34142,0.020816,91.6601,False,3.30799,16.9147,16.4693,0.445386,511.327,False,8.47738,8.46139,8.39839,0.063002,99.8113,False,True,8027.0,699.0,7.0,5.0,1.0,718.0,750108.0,15674029.0,41.0,59.0,750180309,8.4
c5ed97f713e283a6fd7b87306924e9a2.param,144.848749,True,False,False,lingeling,0.398749,0.381705,0.372297,0.009408,95.7256,False,126.671,146.487,143.885,2.60206,115.644,False,17.779,17.7152,17.2463,0.468857,99.641,False,True,390.0,13.0,20.0,2.0,0.0,32.0,115521.0,6530884.0,84.0,16.0,1724245322,15.6
17353df3bde53b0f9b9742ef96eea934.param,15.965291,True,False,False,lingeling,0.425331,0.395314,0.3762,0.019114,92.9427,False,5.87328,21.6926,21.048,0.644594,369.343,False,9.66668,9.60626,9.49469,0.11157,99.375,False,True,5860.0,166.0,9.0,1.0,1.0,161.0,403882.0,12393773.0,54.0,46.0,24629714,9.4
7296b58bee8a069e0196fc9d0646a0ae.param,117.055587,True,False,False,lingeling,0.401987,0.390708,0.378813,0.011895,97.1942,False,102.942,117.938,115.661,2.27674,114.567,False,13.7116,13.4474,12.9853,0.462134,98.073,False,True,1058.0,7.0,4.0,0.0,0.0,11.0,530146.0,9775020.0,68.0,32.0,1444739013,12.1
a8c3dd6467aa3aee6788b8468cbf7c60.param,156.614365,True,False,False,lingeling,0.396165,0.383488,0.367073,0.016415,96.8001,False,10.9742,28.6123,27.7835,0.828752,260.724,False,145.244,144.645,144.274,0.371152,99.5878,False,True,136168.0,2038.0,114.0,3.0,22.0,4620.0,6129245.0,269480194.0,20.0,80.0,132362068,144.1
857a2e4b34f72cd7f8bda2210f3d9b5a.param,176.939418,True,False,False,lingeling,0.386718,0.388087,0.378054,0.010033,100.354,False,162.765,179.148,176.338,2.80947,110.065,False,13.7877,13.7385,13.1749,0.5636,99.6432,False,True,2457.0,79.0,56.0,0.0,0.0,25.0,278439.0,7463781.0,77.0,23.0,1646195835,12.3
defba73cefa67fd8eb0ff4a7011310c4.param,177.478188,True,False,False,lingeling,0.393088,0.361784,0.347008,0.014776,92.0364,False,11.2471,28.8164,27.984,0.832462,256.213,False,165.838,165.108,164.729,0.37953,99.56,False,True,123118.0,3783.0,61.0,4.0,16.0,4475.0,10323938.0,391649466.0,15.0,85.0,750180309,164.7
03a81931a53bebf079fa0c6aacb8e69a.param,140.85611,True,False,False,lingeling,0.37771,0.365648,0.35362,0.012028,96.8065,False,13.7604,32.3272,31.2924,1.03478,234.928,False,126.718,126.149,125.854,0.295674,99.5515,False,True,93134.0,2266.0,55.0,3.0,15.0,878.0,5289479.0,229544732.0,16.0,84.0,81348047,125.6
dc583d26cf8f84fc8a461857271d0ec6.param,125.282866,True,False,False,lingeling,0.390546,0.363976,0.347535,0.016441,93.1967,False,116.22,132.403,130.029,2.37337,113.924,False,8.67232,8.64044,8.3564,0.284031,99.6324,False,True,602.0,17.0,43.0,0.0,0.0,20.0,195316.0,4328456.0,79.0,21.0,1909228284,7.4
7a96a2fa9ece0fd3fec88143f1530bb1.param,145.416242,True,False,False,lingeling,0.457442,0.447546,0.428623,0.018923,97.8367,False,126.134,142.394,139.98,2.41441,112.891,False,18.8248,18.7508,18.1404,0.610402,99.607,False,True,1167.0,2.0,1.0,0.0,0.0,11.0,537370.0,10121211.0,67.0,33.0,1618562023,17.4
2fabbc9ab4922690004cb2447daae1c9.param,40.6521509,True,False,False,lingeling,0.0581609,0.382118,0.369085,0.013033,657.002,False,6.41639,21.2448,20.5622,0.682652,331.103,False,34.1776,34.0457,33.9012,0.144451,99.6141,False,True,22000.0,1684.0,19.0,4.0,3.0,1995.0,2478133.0,66631452.0,20.0,80.0,132362068,33.8
42216dcd03fa69c84e249928e1d0bae0.param,169.30323900000002,True,False,False,lingeling,0.444539,0.393084,0.378172,0.014912,88.4251,False,119.694,137.279,134.78,2.49834,114.691,False,49.1647,49.0057,47.2073,1.79845,99.6766,False,True,23611.0,229.0,143.0,2.0,9.0,64.0,695090.0,31881703.0,70.0,30.0,1646195835,47.1
0ef9255310f5ce4a7145bac16d5660eb.param,113.286054,True,False,False,lingeling,0.774054,0.737927,0.715198,0.022729,95.3328,False,8.336,24.5097,23.8129,0.696867,294.023,False,104.176,103.73,103.442,0.287925,99.5716,False,True,118633.0,3731.0,59.0,5.0,19.0,5515.0,6009774.0,217809666.0,17.0,83.0,1909228284,103.5
82560b31d74837b8d721f1ff9b14d4e4.param,86.852749,True,False,False,lingeling,0.405949,0.391052,0.371547,0.019505,96.3303,False,73.8325,87.991,86.0779,1.9131,119.176,False,12.6143,12.4093,11.934,0.475295,98.3746,False,True,1124.0,3.0,11.0,0.0,0.0,8.0,212936.0,4933072.0,84.0,16.0,716030871,11.2
94d41119d5c3b0a13109d120faae2daf.param,15.881954,True,False,False,lingeling,0.096034,0.370566,0.354187,0.016379,385.87,False,7.86476,21.4977,20.8018,0.695843,273.342,False,7.92116,7.88698,7.76642,0.120553,99.5684,False,True,8105.0,55.0,7.0,3.0,3.0,10.0,167951.0,7072404.0,70.0,30.0,1444739013,7.6
8cd05eec642e32eb6c003f6ac035d235.param,11.505807999999998,True,False,False,lingeling,0.249898,0.430679,0.409918,0.020761,172.342,False,5.41771,18.4522,17.9268,0.525391,340.59,False,5.8382,5.81927,5.72956,0.089711,99.6757,False,True,4167.0,83.0,10.0,2.0,1.0,21.0,179140.0,5777213.0,71.0,29.0,24629714,5.7
baaa976fde38eb7d58157bc4c5a2629a.param,163.638576,True,False,False,lingeling,0.528876,0.505253,0.491661,0.013592,95.5333,False,115.318,133.318,130.924,2.3933,115.609,False,47.7917,47.6071,46.5885,1.01853,99.6137,False,True,3921.0,20.0,19.0,2.0,1.0,230.0,1228118.0,53726690.0,54.0,46.0,19371032,46.2
fc5e03a69c814f8b0c70a5355d096609.param,314.45425800000004,True,False,False,lingeling,0.406158,0.372237,0.350898,0.021339,91.6483,False,294.694,308.734,305.648,3.08523,104.764,False,19.3541,19.2835,18.5116,0.771944,99.6356,False,True,4261.0,77.0,79.0,0.0,2.0,19.0,260622.0,7463945.0,80.0,20.0,81348047,15.9
36f748b87e6fa0aa5c912423ad4e292a.param,21.253667,True,False,False,lingeling,0.429777,0.387876,0.368053,0.019823,90.2505,False,5.79549,20.9321,20.3909,0.541249,361.18,False,15.0284,14.9461,14.8295,0.116575,99.4527,False,True,25638.0,651.0,69.0,3.0,7.0,615.0,755686.0,25089659.0,42.0,58.0,750180309,14.8
41627aba594c19e68f2d75de73a83c68.param,243.478691,True,False,False,lingeling,0.398791,0.366858,0.348026,0.018832,91.9926,False,205.999,227.22,224.141,3.07818,110.301,False,37.0809,35.8972,34.8322,1.06505,96.8078,False,True,1349.0,17.0,12.0,2.0,0.0,76.0,487532.0,24033567.0,66.0,34.0,1457301386,33.5
