Streamliner,md5checksum,sat,SRTime,solverTime,solverTimeOut,nNodes,SRMemOut,SRTimeOut,Seed,baseSolverTime,baseSRTime,totalTime,baseTotalTime,solverTimeReduction,totalTimeReduction
2,e5c50ff145176c8733d45dea45061dab,False,1.094,0.094,0,-1,0,0,1607214242,49.028,0.633,1.1880000000000002,49.661,-inf,-inf
2,c423cf3b1e4921b4da834afef92c4de4,False,1.2790000000000001,0.086,0,-1,0,0,1607214242,36.341,0.98,1.3650000000000002,37.321,-inf,-inf
2,0ddc726bf9b67381801bd37c3e61c121,True,1.574,0.198,0,-1,0,0,1855041826,43.182,0.6579999999999999,1.772,43.84,0.9954147561483951,0.959580291970803
2,fe1b3ed3d1898abdcdec2ce00a54d286,False,1.492,0.142,0,-1,0,0,427561046,81.905,0.838,1.634,82.743,-inf,-inf
2,d97f65c2649e4e707bf9c783ee9e5c4c,False,1.557,0.057,0,-1,0,0,68988760,80.596,1.161,1.6139999999999999,81.757,-inf,-inf
2,cb6d5124e0f327b04fb2a9032c970025,False,1.6030000000000002,0.10099999999999999,0,-1,0,0,388100837,41.522,1.0590000000000002,1.7040000000000002,42.580999999999996,-inf,-inf
2,f8d0eb195954db46f0ef280bd1720ae5,False,2.142,0.036000000000000004,0,-1,0,0,925836541,39.204,0.914,2.178,40.118,-inf,-inf
2,0b7c1fb03413e9c61d94a04b82c9c6bf,False,2.4730000000000003,0.14300000000000002,0,-1,0,0,1620541406,60.842,0.7290000000000001,2.6160000000000005,61.571,-inf,-inf
2,dc85c0fdaa288911481b39919a0b9e1d,False,2.645,0.159,0,-1,0,0,1239644459,69.681,0.472,2.804,70.15299999999999,-inf,-inf
2,ed3d1c037f08d2f6b900519f6ea44f93,False,2.8680000000000003,0.16699999999999998,0,-1,0,0,78986094,79.134,0.615,3.035,79.749,-inf,-inf
2,6a519f050633eadb7959d07d59137f3c,False,2.655,0.109,0,-1,0,0,1100722462,82.54799999999999,0.53,2.764,83.07799999999999,-inf,-inf
2,a310954ad65aae114b261ca5f96f1a0f,False,2.059,0.09,0,-1,0,0,277159353,49.404,0.629,2.149,50.033,-inf,-inf
2,a68a8221b3cf1503f661c3f0550f8242,False,1.933,0.027999999999999997,0,-1,0,0,1620541406,41.807,0.507,1.961,42.314,-inf,-inf
2,522817dc318c4d250e152ca2d502db14,False,2.755,0.11,0,-1,0,0,1285639220,45.647,0.631,2.8649999999999998,46.278,-inf,-inf
2,22740af0bf889d1fee41e166e25fc1aa,False,2.217,0.065,0,-1,0,0,69538093,57.063,1.252,2.282,58.315000000000005,-inf,-inf
2,80b01d9b15d6a135cd05b1f787ebcd19,False,2.222,0.076,0,-1,0,0,277159353,80.722,0.937,2.298,81.65899999999999,-inf,-inf
2,0da117899f6c80cf9d387a166dfbbd41,False,3.6289999999999996,0.22699999999999998,0,-1,0,0,1001245471,78.955,1.649,3.8559999999999994,80.604,-inf,-inf
2,491b0a54b1672a02731f2b58c58c7280,False,3.075,0.131,0,-1,0,0,520201018,49.997,1.28,3.2060000000000004,51.277,-inf,-inf
