Streamliner,Instance,solverTimeDelta,solverNodeDelta
Original,67e797dbfe7711e2b13dcb3ab55bcaf3.param,0.2999999999999998,0.0
Original,6937eb46592d28a8b74d2ec4429ab008.param,1.3000000000000007,0.0
18,f81ee25223939655f15670ff26095385.param,0.2999999999999998,0.0
17,90ab5cb6727534cfd4b50d51e110f2fe.param,0.8999999999999986,0.0
2-20,207044a391f7f8acbcf093b9854deb41.param,0.09999999999999998,0.0
19,7da0f09e59fd1d248970ae88a75912c8.param,0.20000000000000015,0.0
12,c233626748eab01a56411b336d2afb3d.param,0.09999999999999988,0.0
17-4,8810968153c337f6d5e495f331c1d84d.param,0.2,0.0
36-33,658526d77ec075ed1c6a89699e4fa2b1.param,0.19999999999999973,0.0
36-33,85f0e1f468133074506078d4663ed295.param,0.10000000000000007,0.0
20-3,90ab5cb6727534cfd4b50d51e110f2fe.param,3.0,0.0
11,6d0100641f5f8fc5784cc890904ff4d5.param,0.09999999999999988,0.0
11,ee4850b8bd52d2b886dce224755ddab8.param,0.09999999999999988,0.0
11,3cc0b62b438905d4419d667bcdc9854c.param,0.10000000000000007,0.0
20-10,3cc0b62b438905d4419d667bcdc9854c.param,0.09999999999999988,0.0
20-10,78aeb98ed2566aaead5670b6a9dadb3d.param,0.10000000000000007,0.0
9-3,2cad957abfd0cfe85a4724cf1c30284f.param,0.09999999999999998,0.0
20,3f9f6fecc3e343dc171c8144e2502643.param,0.5999999999999996,0.0
18-19-3,37af0b9f06a9513195cb223806ffb738.param,0.6999999999999993,0.0
3-17,6921f5e105773734c046fd35fe5725af.param,0.0999999999999659,17700.0
34-28,482563af24ef07e558ce739a25aa2dc1.param,0.10000000000002274,163925.0
Original,fdf9485598ea83ec38b516b9e8352381.param,0.09999999999999987,0.0
Original,3cc0b62b438905d4419d667bcdc9854c.param,0.2999999999999998,0.0
18,207044a391f7f8acbcf093b9854deb41.param,0.20000000000000018,0.0
18,2cad957abfd0cfe85a4724cf1c30284f.param,0.10000000000000009,0.0
17,8810968153c337f6d5e495f331c1d84d.param,0.10000000000000009,0.0
17,4b92d932a0e2e5ffcd4fb71610ad10fd.param,0.19999999999999973,0.0
17,fdf9485598ea83ec38b516b9e8352381.param,0.19999999999999996,0.0
17,3cc0b62b438905d4419d667bcdc9854c.param,0.19999999999999996,0.0
17,78aeb98ed2566aaead5670b6a9dadb3d.param,0.19999999999999996,0.0
17,12cd85de34d5d964f776f9941da86653.param,0.10000000000000009,0.0
17,12bd279c3a93f3543671d028c9e2406a.param,0.09999999999999987,0.0
19,6d0100641f5f8fc5784cc890904ff4d5.param,0.19999999999999973,0.0
19,8810968153c337f6d5e495f331c1d84d.param,0.2999999999999998,0.0
19,fdf9485598ea83ec38b516b9e8352381.param,0.09999999999999987,0.0
19,7da0f09e59fd1d248970ae88a75912c8.param,0.20000000000000018,0.0
19,3f9f6fecc3e343dc171c8144e2502643.param,1.8999999999999986,0.0
19,3f69a81f529dd135bb7c5540b82aef2d.param,0.10000000000000009,0.0
19,6937eb46592d28a8b74d2ec4429ab008.param,0.5999999999999996,0.0
19,482563af24ef07e558ce739a25aa2dc1.param,0.30000000000001137,644144.0
