Unnamed: 0,Instance,TotalTime,Satisfiable,Killed,conjure_RealTime,conjure_CPUTime,conjure_CPUUserTime,conjure_CPUSystemTime,conjure_CPUUsage,savilerow_RealTime,savilerow_CPUTime,savilerow_CPUUserTime,savilerow_CPUSystemTime,savilerow_CPUUsage,chuffed_RealTime,chuffed_CPUTime,chuffed_CPUUserTime,chuffed_CPUSystemTime,chuffed_CPUUsage,solver_satisfiable,solver_nodes,solver_failures,solver_restarts,solver_variables,solver_intVars,solver_boolVariables,solver_propagators,solver_propagations,solver_peakDepth,solver_nogoods,solver_backjumps,solver_peakMem,solver_time,solver_initTime,solver_solveTime,solver_objective,solver_baseMem,solver_trailMem,solver_randomSeed
60,7ada8281bc83c879f807b9db592f3ff6.param,17.103608,True,False,0.552398,0.49509,0.436127,0.058963,89.6256,4.89511,15.0798,14.5313,0.548406,308.058,11.6561,11.606,11.5603,0.045734,99.5707,True,220241.0,28409.0,91.0,55653.0,6510.0,49141.0,1110.0,6991526.0,662.0,28409.0,162303.0,0.0,11.622,0.187,11.435,-1.0,0.0,0.19,1724245322.0
61,dfdf797677096bfe7f8a268fd16f4252.param,36.989169,True,False,0.497839,0.426074,0.353612,0.072462,85.5847,6.49943,17.1965,16.5616,0.634891,264.585,29.9919,29.828,29.7733,0.054722,99.4535,True,231415.0,63265.0,174.0,56986.0,6993.0,49991.0,3419.0,37757270.0,797.0,63265.0,116239.0,0.0,29.948,0.178,29.77,-1.0,0.0,0.28,1457301386.0
62,6d61fad9c4a3816d0508e94baf900f4f.param,101.951967,True,False,0.514567,0.443222,0.366455,0.076767,86.1349,21.3822,32.3622,31.2958,1.06639,151.351,80.0552,79.5831,79.4131,0.170026,99.4103,True,741442.0,45028.0,127.0,127353.0,14850.0,112501.0,2314.0,28287358.0,1521.0,45028.0,615777.0,0.0,79.947,0.671,79.276,-1.0,0.0,0.42,19371032.0
63,160f40662bd73236247e6c27a18157e9.param,32.536744,True,False,0.493044,0.451602,0.370849,0.080753,91.5947,22.3215,34.4212,33.1334,1.28776,154.207,9.7222,9.67212,9.60437,0.067749,99.4848,True,69116.0,4402.0,19.0,163747.0,19040.0,144705.0,2788.0,2901332.0,1434.0,4402.0,46920.0,0.0,9.631,0.559,9.072,-1.0,0.0,0.63,1618562023.0
64,cab0b9fb5900c9184d5e3f3f5ea77532.param,59.12476,True,False,0.47146,0.389852,0.358805,0.031047,82.6904,19.6398,32.6275,31.3728,1.25468,166.129,39.0135,38.797,38.7026,0.094408,99.445,True,140946.0,22822.0,67.0,172434.0,19845.0,152587.0,2293.0,19781746.0,1411.0,22822.0,77722.0,0.0,38.917,0.667,38.25,-1.0,0.0,0.63,569459731.0
65,6dd10466f26b148c6ac68effdf668f7a.param,152.34964200000002,True,False,0.437442,0.37772,0.354717,0.023003,86.3474,26.1612,40.2558,38.9609,1.29492,153.876,125.751,125.13,125.017,0.112522,99.506,True,986760.0,55589.0,146.0,157068.0,18315.0,138751.0,2839.0,42261155.0,1784.0,55589.0,811416.0,0.0,125.652,0.516,125.136,-1.0,0.0,0.63,19371032.0
66,4d36d6fee96e9a019d616bcc2ee4276f.param,148.832232,True,False,0.473232,0.411604,0.352048,0.059556,86.9772,47.358,58.597,57.1631,1.43388,123.732,101.001,100.469,100.366,0.102618,99.4734,True,681777.0,33878.0,106.0,195608.0,22591.0,173015.0,2835.0,24297689.0,1678.0,33878.0,560331.0,0.0,100.886,0.611,100.275,-1.0,0.0,0.63,750180309.0
67,ac0c92f9c2cd86b4772913503e25ca30.param,76.12792499999999,True,False,0.542925,0.434117,0.373565,0.060552,79.9589,64.7327,78.3145,76.5523,1.76217,120.981,10.8523,10.7791,10.4667,0.312389,99.3249,True,47679.0,2515.0,14.0,246183.0,28380.0,217801.0,3384.0,2208873.0,2030.0,2515.0,28123.0,0.0,10.655,1.096,9.559,-1.0,0.0,0.94,1474081920.0
68,8b4701e1e1a99846e6715220895e4319.param,100.38722,True,False,1.02312,0.923936,0.862242,0.061694,90.3055,22.0505,34.9409,33.6854,1.25556,158.459,77.3136,76.9016,76.7871,0.114553,99.4671,True,766191.0,26800.0,83.0,168116.0,19499.0,148615.0,2707.0,20115665.0,2695.0,26800.0,674188.0,0.0,77.203,0.559,76.644,-1.0,0.0,0.63,132362068.0
69,d3c4e7e3a2d87f5044e2803fb40bcec1.param,154.849389,True,False,0.543669,0.45031,0.362166,0.088144,82.8279,7.38372,19.2731,18.6154,0.657786,261.022,146.922,146.14,146.032,0.108488,99.468,True,1694949.0,341577.0,749.0,103442.0,12160.0,91280.0,5055.0,201773055.0,1125.0,341577.0,1122208.0,0.0,146.807,0.322,146.485,-1.0,0.0,0.42,569459731.0
